January - December 2018 Contiguous U.S. Statewide Maximum Temperature,,,,,
Units: Degrees Fahrenheit,,,,,
Missing: -99,Rank out of 127 Years,,,,
Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
100,Alabama,75.2,77,0.3,74.9
200,Arizona,76.5,123,3.1,73.4
300,Arkansas,71.5,59,-0.2,71.7
400,California,72.7,123,2.8,69.9
500,Colorado,61.3,121,2.9,58.4
600,Connecticut,60,108,1.6,58.4
700,Delaware,66.3,107,2.1,64.2
800,Florida,82.3,115,1.4,80.9
900,Georgia,75.9,100,0.9,75
1000,Idaho,56.2,109,1.9,54.3
1100,Illinois,62.3,74,0.3,62
1200,Indiana,62.3,75,0.3,62
1300,Iowa,57.2,31,-1.1,58.3
1400,Kansas,67.1,75,0.4,66.7
1500,Kentucky,67.1,74,0.3,66.8
1600,Louisiana,77.7,90,0.5,77.2
1700,Maine,51.8,104,1.3,50.5
1800,Maryland,65.1,96,1.1,64
1900,Massachusetts,58.8,107,1.6,57.2
2000,Michigan,54.5,89,0.8,53.7
2100,Minnesota,50.6,48,-0.3,50.9
2200,Mississippi,75.3,68,0,75.3
2300,Missouri,65.8,70,0.1,65.7
2400,Montana,53.1,51,-0.1,53.2
2500,Nebraska,60.1,29,-1.1,61.2
2600,Nevada,65.7,119,2.6,63.1
2700,New Hampshire,54.5,97,1.1,53.4
2800,New Jersey,63.4,104,1.8,61.6
2900,New Mexico,70.7,121,3,67.7
3000,New York,55.5,92,0.8,54.7
3100,North Carolina,70.7,93,0.9,69.8
3200,North Dakota,50.9,50,-0.4,51.3
3300,Ohio,61.5,80,0.6,60.9
3400,Oklahoma,72.2,80,0.5,71.7
3500,Oregon,60.2,119,2.4,57.8
3600,Pennsylvania,59,81,0.4,58.6
3700,Rhode Island,60.3,111,2.3,58
3800,South Carolina,74.9,98,0.9,74
3900,South Dakota,55.6,28,-1.4,57
4000,Tennessee,69.2,61,0,69.2
4100,Texas,78.1,95,1,77.1
4200,Utah,63.3,121,3.1,60.2
4300,Vermont,53.1,94,0.9,52.2
4400,Virginia,66.5,85,0.6,65.9
4500,Washington,57.7,109,1.7,56
4600,West Virginia,63.3,77,0.5,62.8
4700,Wisconsin,53.1,67,0.1,53
4800,Wyoming,55.5,105,2,53.5
4900,Alaska,37.5,91,3.8,33.7
5000,Hawaii,84,,,
